1,Crossfit,Petr Novák,Monday,10:00,10,0,150
2,Crossfit,Petr Novák,Wednesday,10:00,10,0,150
3,Pilates,Jana Dvořáková,Tuesday,09:00,15,0,120
4,Pilates,Jana Dvořáková,Thursday,20:00,15,0,120
5,Kruhový trénink,Tomáš Král,Wednesday,18:00,12,0,100
6,Jóga,Lucie Benešová,Thursday,07:00,20,0,80
7,Kickbox,Martin Svoboda,Friday,19:00,8,0,180
8,Crossfit,Kateřina Nová,Friday,11:00,12,0,150
9,Pilates,Simona Růžová,Saturday,10:00,15,0,120
10,Kruhový trénink,David Procházka,Monday,19:00,12,0,100
11,Jóga,Lucie Benešová,Sunday,08:00,20,0,80
12,Jóga,Markéta Zelená,Tuesday,18:30,18,0,80
13,Kickbox,Jakub Bílý,Tuesday,20:00,10,0,180
